,ID,players_turn,decision_consistency,coalition_suggestion,C0,C1,C2,C3,C4,C5,C6,S0,S1,S2,S3,S4,S5,S6,R0,R1,R2,R3,R4,R5,R6,round_num,CP,in_cp,Reward
2,0,1,1,0,0,1,2,3,4,5,6,1,1,0,1,0,1,0,0,0,1,0,2,0,3,1,-1,-1,1.75
3,0,2,2,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,-1,-1,1.75
2,1,1,1,0,0,1,2,3,4,5,6,1,1,1,0,0,0,0,0,0,0,1,2,3,4,1,-1,0,2
3,1,0,1,0,0,0,0,1,2,3,4,1,0,0,0,0,0,1,0,0,0,1,2,3,4,2,-1,0,2
4,1,0,1,0,0,0,0,1,2,3,4,1,0,0,0,0,0,1,0,0,0,1,2,3,4,3,-1,0,2
5,1,2,2,2,0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,1,2,3,4,3,-1,0,2
2,10,1,1,0,0,1,2,3,4,5,6,1,1,0,0,1,0,0,0,1,2,3,4,5,6,1,-1,-1,1
3,10,0,1,1,0,1,2,3,4,5,3,1,0,0,0,0,1,0,0,1,2,3,4,0,3,1,-1,3,1.5
4,10,1,0,1,0,1,2,3,4,0,3,1,0,0,0,1,0,0,0,1,2,3,4,0,3,2,-1,3,1.5
5,10,0,1,0,0,1,2,3,4,0,3,1,1,0,0,0,0,0,0,1,2,3,4,0,3,2,-1,3,1.5
6,10,1,0,1,0,1,2,3,4,0,3,1,0,0,0,1,0,0,0,1,2,3,4,0,3,3,-1,3,1.5
7,10,1,1,1,0,1,2,3,4,0,2,1,0,0,0,1,1,0,0,1,2,3,4,0,2,4,-1,3,1.5
8,10,2,2,2,0,1,2,3,4,0,2,0,0,0,0,0,0,0,0,1,2,3,4,0,2,6,-1,3,1.5
2,101,1,1,0,0,1,2,3,4,5,6,1,1,1,0,0,0,0,0,0,0,1,2,3,4,1,-1,0,2
3,101,2,2,2,0,0,0,1,2,3,4,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,-1,0,2
2,102,1,1,1,0,1,2,3,4,5,6,1,0,0,0,0,1,0,0,1,2,3,4,0,5,1,-1,3,1.5
3,102,1,1,0,0,1,1,2,3,0,4,1,1,0,1,0,1,0,0,0,1,0,2,0,3,2,-1,-1,1.75
4,102,2,2,2,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,1,0,2,0,3,3,-1,-1,1.75
2,103,1,0,1,0,1,2,3,4,5,6,1,0,1,0,0,0,0,0,1,2,3,4,5,6,1,-1,-1,1
3,103,1,1,0,0,1,2,3,4,5,6,1,0,0,0,1,1,0,0,1,2,3,4,5,6,2,-1,-1,1
